LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL,month,doy,period,lakeid,fui,season
1_1_LT05_024030_20110821,111106,2011-08-21,-99,224.53494666522303,197.6589541283352,341.25911323099297,229.27884449923462,73.64362062830502,51.602150027144106,4261.220018518471,-99,l5,64,0,2011,541,Aug,233,"(2008,2011]",WI,8,Summer (jja)
1_1_LT05_024030_20111008,111106,2011-10-08,-99,290.42085892240823,237.65549540668073,328.36138524326543,215.86522404444648,51.14203423976053,28.422178698779685,4196.281274551265,-99,l5,64,0,2011,514,Oct,281,"(2008,2011]",WI,7,Fall (so)
1_1_LT05_024030_20111024,111106,2011-10-24,-99,207.64311721747578,153.7077440149887,247.18323264978724,148.99289461615535,58.3155457455982,33.03463199661695,4023.772788473686,-99,l5,64,0,2011,512,Oct,297,"(2008,2011]",WI,7,Fall (so)
2_LC08_024030_20130810,111106,2013-08-10,293.5,396.33325765822394,353.9484643757285,542.2420767225906,244.0573051562003,90.66148471247352,65.32226740259776,53.82087583754992,2918,l8,50,0,2013,540,Aug,222,"(2011,2014]",WI,8,Summer (jja)
2_LC08_024030_20130927,111106,2013-09-27,165,258.11586534785937,198.5931388275447,312.06669418666354,182.49502125036025,64.7365186336108,39.13228949662389,85.78558220755122,2906,l8,50,0,2013,516,Sep,270,"(2011,2014]",WI,7,Fall (so)
2_LC08_024030_20131013,111106,2013-10-13,133,227.94475387555698,180.0512269533832,275.89559377611477,146.9568987691415,48.03193337736197,25.30008438824743,124.04081549309785,2869,l8,50,0,2013,518,Oct,286,"(2011,2014]",WI,7,Fall (so)
2_LC08_024030_20140525,111106,2014-05-25,259,404.9734396186003,391.8287344338811,595.9196710083818,264.40004572869043,107.5311501015905,72.64714279242564,66.91577764755175,2912,l8,50,0,2014,547,May,145,"(2011,2014]",WI,8,Spring (am)
2_LC08_024030_20140728,111106,2014-07-28,180,326.80631483495796,306.98530537602096,473.18307718543,486.1575520223444,138.48369286654648,93.31000952139267,69.28599652697949,2907,l8,50,0,2014,545,Jul,209,"(2011,2014]",WI,8,Summer (jja)
2_LC08_024030_20140813,111106,2014-08-13,210,321.1513014998297,277.8761997290812,435.753935798817,284.07633317639414,99.40872366202143,64.75741654278734,68.10129756260221,2905,l8,50,0,2014,536,Aug,225,"(2011,2014]",WI,8,Summer (jja)
2_LC08_024030_20140914,111106,2014-09-14,168.5,253.96212756259823,193.83115106882275,284.8287273008516,208.39006150706496,59.98019900243652,32.23057569754487,130.90026122531708,2857,l8,50,0,2014,508,Sep,257,"(2011,2014]",WI,6,Fall (so)
2_LC08_024030_20141016,111106,2014-10-16,75,163.5273490509619,110.63746179363118,194.07573243242507,100.36627523093055,31.16644178912441,17.178139618652118,160.28301058479428,2835,l8,50,0,2014,508,Oct,289,"(2011,2014]",WI,6,Fall (so)
2_LC08_024030_20141101,111106,2014-11-01,126,212.2875606736835,149.18787984348725,230.09187254577907,126.70251625059855,38.41421242881668,20.663769343038894,220.61015891250918,2783,l8,50,0,2014,502,Nov,305,"(2011,2014]",WI,6,NA
